played_on,competition,competition_edition,round_name,team_a,team_b,winner_team,sequence_number,team_name,player_name,goalkeeper_name,outcome,source_provider,source_url,source_row_key,retrieved_at_utc
2026-01-14,Africa Cup of Nations,2025,Semi-final,Nigeria,Morocco,Morocco,7,Morocco,Achraf Hakimi,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732182,espn:732182:46761099,2026-06-30T12:00:00+00:00
2026-01-14,Africa Cup of Nations,2025,Semi-final,Nigeria,Morocco,Morocco,8,Nigeria,Bruno Onyemaechi,,missed,espn,https://www.espn.com/soccer/match/_/gameId/732182,espn:732182:46761100,2026-06-30T12:00:00+00:00
2026-01-14,Africa Cup of Nations,2025,Semi-final,Nigeria,Morocco,Morocco,9,Morocco,Youssef En-Nesyri,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732182,espn:732182:46761116,2026-06-30T12:00:00+00:00
2026-01-17,Africa Cup of Nations,2025,Third-place match,Egypt,Nigeria,Nigeria,1,Nigeria,Fisayo Dele-Bashiru,,missed,espn,https://www.espn.com/soccer/match/_/gameId/732183,espn:732183:46779125,2026-06-30T12:00:00+00:00
2026-01-17,Africa Cup of Nations,2025,Third-place match,Egypt,Nigeria,Nigeria,2,Egypt,Mohamed Salah,,missed,espn,https://www.espn.com/soccer/match/_/gameId/732183,espn:732183:46779132,2026-06-30T12:00:00+00:00
2026-01-17,Africa Cup of Nations,2025,Third-place match,Egypt,Nigeria,Nigeria,3,Nigeria,Akor Adams,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732183,espn:732183:46779176,2026-06-30T12:00:00+00:00
2026-01-17,Africa Cup of Nations,2025,Third-place match,Egypt,Nigeria,Nigeria,4,Egypt,Omar Marmoush,,missed,espn,https://www.espn.com/soccer/match/_/gameId/732183,espn:732183:46779183,2026-06-30T12:00:00+00:00
2026-01-17,Africa Cup of Nations,2025,Third-place match,Egypt,Nigeria,Nigeria,5,Nigeria,Moses Simon,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732183,espn:732183:46779210,2026-06-30T12:00:00+00:00
2026-01-17,Africa Cup of Nations,2025,Third-place match,Egypt,Nigeria,Nigeria,6,Egypt,Ramy Rabia,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732183,espn:732183:46779218,2026-06-30T12:00:00+00:00
2026-01-17,Africa Cup of Nations,2025,Third-place match,Egypt,Nigeria,Nigeria,7,Nigeria,Alex Iwobi,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732183,espn:732183:46779234,2026-06-30T12:00:00+00:00
2026-01-17,Africa Cup of Nations,2025,Third-place match,Egypt,Nigeria,Nigeria,8,Egypt,Mahmoud Saber,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732183,espn:732183:46779246,2026-06-30T12:00:00+00:00
2026-01-17,Africa Cup of Nations,2025,Third-place match,Egypt,Nigeria,Nigeria,9,Nigeria,Ademola Lookman,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732183,espn:732183:46779271,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,1,Egypt,Mohamed Abdelmoneim,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308626,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,2,Congo DR,Samuel Moutoussamy,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308641,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,3,Egypt,Mostafa Mohamed,,missed,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308646,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,4,Congo DR,Arthur Masuaku,,missed,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308647,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,5,Egypt,Omar Marmoush,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308649,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,6,Congo DR,Grady Diangana,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308650,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,7,Egypt,Omar Kamal,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308661,2026-06-30T12:00:00+00:00
2024-01-28,Africa Cup of Nations,2023,Round of 16,Egypt,Congo DR,Congo DR,8,Congo DR,Silas Katompa-Mvumpa,,scored,espn,https://www.espn.com/soccer/match/_/gameId/697524,espn:697524:42308664,2026-06-30T12:00:00+00:00
